,用户id,用户姓名,发表日期,国家,省份,市区,说说内容,积极情感分数,消极情感分数,积极情感均值,消极情感均值,积极情感方差,消极情感方差
0,6960677,张俊峰,2015-07-28,中国,河南,平顶山,拣尽寒枝不肯栖寂寞沙洲冷,0.0,8.0,0.0,1.1,0.0,0.8
1,120670808,马亚辉,15:38,中国,河南,商丘,看妮子做一下午饭有空的来市区店里坐坐呗,0.0,0.0,0.0,0.0,0.0,0.0
2,120670808,马亚辉,2019-07-26,中国,河南,商丘,文艺范的说说文艺范的视频,0.0,0.0,0.0,0.0,0.0,0.0
3,120670808,马亚辉,2019-07-23,中国,河南,商丘,我要和你学跳舞,0.0,0.0,0.0,0.0,0.0,0.0
4,120670808,马亚辉,2019-07-21,中国,河南,商丘,真丑,0.0,0.0,0.0,0.0,0.0,0.0
5,120670808,马亚辉,2019-07-18,中国,河南,商丘,健身房里面卖营养餐应该很刺激吧傻妮子真牛逼  转发内容:健身房里面卖营养餐应该很刺激吧傻妮子真牛逼,33.0,87.0,1.1,3.0,1.0,1.9
6,120670808,马亚辉,2019-07-13,中国,河南,商丘,陪妮子浪我发现服务员真好看,0.0,0.0,0.0,0.0,0.0,0.0
7,120670808,马亚辉,2019-07-10,中国,河南,商丘,晚上失眠开始给粉色的猪存零钱,0.0,7.0,0.0,0.9,0.0,0.3
8,120670808,马亚辉,2019-07-08,中国,河南,商丘,等妮子健身结束吃花蛤看龙珠真刺激,0.0,1.0,0.0,0.1,0.0,0.3
9,120670808,马亚辉,2019-07-04,中国,河南,商丘,此处省略一句励志的话,0.0,0.0,0.0,0.0,0.0,0.0
10,120670808,马亚辉,2019-07-03,中国,河南,商丘,俩狗打架图图,0.0,3.0,0.0,0.6,0.0,0.5
11,120670808,马亚辉,2019-07-02,中国,河南,商丘,和健身房行业李总谈合作第一次做保时捷啥时候自己买呀出去嗨皮哦,12.0,0.0,0.8,0.0,0.4,0.0
12,120670808,马亚辉,2019-07-01,中国,河南,商丘,分享一个单身小哥哥请添加,0.0,0.0,0.0,0.0,0.0,0.0
13,120670808,马亚辉,2019-06-29,中国,河南,商丘,考完毛概放松一下明天还有考试,0.0,0.0,0.0,0.0,0.0,0.0
14,120670808,马亚辉,2019-06-28,中国,河南,商丘,大厨在线,0.0,0.0,0.0,0.0,0.0,0.0
15,120670808,马亚辉,2019-06-27,中国,河南,商丘,一组装的图片,0.0,0.0,0.0,0.0,0.0,0.0
16,120670808,马亚辉,2019-06-27,中国,河南,商丘,明天考试背会一段块钱我发现这我不是不会背而是以前没动力,0.0,13.0,0.0,0.8,0.0,0.9
17,120670808,马亚辉,2019-06-26,中国,河南,商丘,这个男的不是人天上文曲星下凡尘郑豪杰,0.0,8.0,0.0,0.7,0.0,0.4
18,120670808,马亚辉,2019-06-24,中国,河南,商丘,受不了这玩意上瘾,0.0,5.0,0.0,1.2,0.0,0.4
19,120670808,马亚辉,2019-06-23,中国,河南,商丘,毛泽东思想令我如痴如醉,0.0,0.0,0.0,0.0,0.0,0.0
20,120670808,马亚辉,2019-06-19,中国,河南,商丘,一夜变成社会人,0.0,0.0,0.0,0.0,0.0,0.0
21,120670808,马亚辉,2019-06-19,中国,河南,商丘,偷个月亮吗  转发内容:偷个月亮吗,15.0,0.0,1.4,0.0,0.9,0.0
22,120670808,马亚辉,2019-06-18,中国,河南,商丘,灼灼桃花十里取一朵放在心上刘死蛋,0.0,0.0,0.0,0.0,0.0,0.0
23,120670808,马亚辉,2019-06-17,中国,河南,商丘,养个乌龟刘死蛋看看有木有我活的年龄长,0.0,0.0,0.0,0.0,0.0,0.0
24,120670808,马亚辉,2019-06-17,中国,河南,商丘,睡不着一人一瓶江小白,0.0,4.0,0.0,1.0,0.0,0.0
25,120670808,马亚辉,2019-06-15,中国,河南,商丘,出镜的第一个是沙雕,0.0,0.0,0.0,0.0,0.0,0.0
26,120670808,马亚辉,2019-06-14,中国,河南,商丘,夏天之彭亮吃田螺,0.0,0.0,0.0,0.0,0.0,0.0
27,120670808,马亚辉,2019-06-14,中国,河南,商丘,大家关注一波吧  转发内容:大家关注一波吧,17.0,0.0,1.3,0.0,0.9,0.0
28,120670808,马亚辉,2019-06-13,中国,河南,商丘,扫码进群抽三十名送冰淇淋每天都有冷饮福利,1.0,0.0,0.1,0.0,0.3,0.0
29,120670808,马亚辉,2019-06-13,中国,河南,商丘,昨天的是个男的我只是偷个说说,0.0,0.0,0.0,0.0,0.0,0.0
30,120670808,马亚辉,2019-06-12,中国,河南,商丘,希望愿为你撑伞的人都在六月出现吧子非鱼,12.0,0.0,1.0,0.0,0.0,0.0
31,120670808,马亚辉,2019-06-12,中国,河南,商丘,跟着洒水车看彩虹吧,0.0,0.0,0.0,0.0,0.0,0.0
32,120670808,马亚辉,2019-06-09,中国,河南,商丘,明天的概率论考试为啥比高考前还要紧张,0.0,2.0,0.0,0.2,0.0,0.6
